SA3_CODE,SA3_NAME,SA3_LON,SA3_LAT,SA3_COORDS,SA3_GEOINFO
20102,Creswick - Daylesford - Ballan,"[143.072686, 145.137758]","[-37.766864, -37.216227]","[143.072686, -37.766864, 145.137758, -37.216227]","-37.49155,144.10522,30.56034km"
20302,Geelong,"[143.846947, 144.884363]","[-38.157158, -37.880539]","[143.846947, -38.157158, 144.884363, -37.880539]","-38.01885,144.36565,15.35239km"
20303,Surf Coast - Bellarine Peninsula,"[143.735962, 144.78186]","[-38.477473, -38.198591]","[143.735962, -38.477473, 144.78186, -38.198591]","-38.33803,144.25891,15.47791km"
20401,Upper Goulburn Valley,"[143.654606, 147.674423]","[-37.665768, -36.593912]","[143.654606, -37.665768, 147.674423, -36.593912]","-37.12984,145.66451,59.488km"
20503,Gippsland - South West,"[144.809703, 147.083796]","[-38.889234, -38.282864]","[144.809703, -38.889234, 147.083796, -38.282864]","-38.58605,145.94675,33.65357km"
20601,Brunswick - Coburg,"[144.880584, 145.03493]","[-37.77609, -37.734934]","[144.880584, -37.77609, 145.03493, -37.734934]","-37.75551,144.95776,2.28412km"
20602,Darebin - South,"[144.94344, 145.071402]","[-37.784723, -37.750603]","[144.94344, -37.784723, 145.071402, -37.750603]","-37.76766,145.00742,1.89366km"
20603,Essendon,"[144.841302, 144.987115]","[-37.782071, -37.743191]","[144.841302, -37.782071, 144.987115, -37.743191]","-37.76263,144.91421,2.15784km"
20604,Melbourne City,"[144.852581, 145.044056]","[-37.83339, -37.782334]","[144.852581, -37.83339, 145.044056, -37.782334]","-37.80786,144.94832,2.83357km"
20605,Port Phillip,"[144.868368, 145.04222]","[-37.870896, -37.82454]","[144.868368, -37.870896, 145.04222, -37.82454]","-37.84772,144.95529,2.57277km"
20606,Stonnington - West,"[144.949755, 145.067818]","[-37.862492, -37.831011]","[144.949755, -37.862492, 145.067818, -37.831011]","-37.84675,145.00879,1.74718km"
20607,Yarra,"[144.919307, 145.074469]","[-37.822068, -37.780695]","[144.919307, -37.822068, 145.074469, -37.780695]","-37.80138,144.99689,2.2962km"
20701,Boroondara,"[144.930622, 145.195396]","[-37.854673, -37.784073]","[144.930622, -37.854673, 145.195396, -37.784073]","-37.81937,145.06301,3.9183km"
20702,Manningham - West,"[145.015634, 145.253996]","[-37.800291, -37.736734]","[145.015634, -37.800291, 145.253996, -37.736734]","-37.76851,145.13482,3.52744km"
20703,Whitehorse - West,"[145.027173, 145.23802]","[-37.856174, -37.799953]","[145.027173, -37.856174, 145.23802, -37.799953]","-37.82806,145.1326,3.12025km"
